Date,m_t,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE
2009-02-02,1428.45,-0.27379376,0.7432016,0.41426978,1.4194819,0.13844995,1.7475356,1.543854,0.63211405,0.07057484,0.40633297
2009-02-03,1533.058,1.1817119,0.6340364,0.407207,1.1626354,0.27721122,0.27625915,0.6297962,-0.928083,0.41266912,0.19301057
2009-02-04,1452.2834,-0.23164877,0.46204567,0.13714491,0.23604274,0.29839593,0.7002604,0.8286189,-0.36360115,0.63538617,0.2768132
2009-02-05,1405.9701,-0.13431299,1.0546254,0.8962728,0.75141037,0.74614805,0.87165356,0.73908293,1.0636848,1.0274104,1.3908902
2009-02-06,1270.2129,2.073486,1.4429497,1.0823501,1.2144263,0.6430859,1.1301512,1.0377231,1.108934,0.5562791,1.0854951
2009-02-09,1297.9382,0.3688703,-0.37948984,0.8720389,-0.4259649,0.15132311,0.4427161,-0.18139574,0.26463914,-0.72217923,-0.3248897
2009-02-10,1366.7145,-1.5625875,-1.6230161,-1.5303639,-1.1908165,-0.8241368,-1.7498534,-1.550335,-1.4262937,-1.2815115,-1.1829963
2009-02-11,1620.3474,0.8426951,0.2338547,-0.3179374,0.64378744,0.37717384,0.0649497,-0.5726164,-0.35228583,0.16003332,-0.16854371
2009-02-12,1706.9312,0.031304568,0.06619053,0.60772556,0.084589034,-0.39894658,-0.08645049,0.26431346,0.7228446,-0.8808159,1.0829684
2009-02-13,1915.7721,-0.363225,-0.14329652,-0.06037415,-0.19721854,0.26671872,-0.13940328,0.89662015,0.08399963,0.16218673,-0.09005287
2009-02-17,1465.7555,-1.3711761,-1.6459796,-1.452538,-1.5455277,-1.3433343,-1.4356523,-2.3513823,-0.84095854,-2.6413364,-0.845413
2009-02-18,1774.5812,0.39693853,0.15667628,-0.07864631,0.058523998,0.4704034,0.362336,0.118728645,-0.32550126,-0.08785798,0.025013676
2009-02-19,1745.9375,-0.9715447,-0.5882503,-1.0619899,-0.29995215,-0.676621,-1.3126113,-1.7285141,-0.39763194,-0.7048358,-0.9657789
2009-02-20,1212.9751,-0.020116143,0.09810638,0.16348729,0.18828641,-0.51907367,0.30583316,0.15561214,0.1930489,1.3686,-2.2677908
2009-02-23,1232.2008,-2.2663257,-1.7164899,-1.724077,-1.7666963,-1.3949612,-1.8184152,-0.8263275,-1.2404549,-1.3482871,-1.5122699
2009-02-24,1225.8689,1.1343291,1.5179831,1.2546923,-0.10130697,1.17744,1.7831012,1.3354175,1.5869551,1.1946193,1.7986665
2009-02-25,1017.86237,-0.23692714,-0.5461935,0.29933965,-0.5757138,-0.40838334,0.84850365,0.13599233,-0.4070747,2.3213854,-0.8805072
